City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,labasa,-16.4167,179.3833,300.21,72,100,2.34,FJ,1691551515
349,el viejo,12.6633,-87.1672,299.51,80,89,1.86,NI,1691551515
350,farafangana,-22.8167,47.8333,292.1,91,91,0.62,MG,1691551516
351,alesund,62.4723,6.1549,287.46,76,100,4.63,NO,1691551075
352,trincomalee,8.5711,81.2335,302.29,65,100,7.1,LK,1691551516
353,fakenham,52.83,0.8477,286.28,78,100,3.13,GB,1691551516
354,atar,20.5169,-13.0499,304.12,23,4,4.8,MR,1691551151
355,hadibu,12.65,54.0333,298.84,80,100,11.25,YE,1691551517
356,sault ste. marie,46.5168,-84.3333,290.46,89,0,1.54,CA,1691551517
357,labytnangi,66.6572,66.4183,285.51,76,100,1.28,RU,1691551364
358,badger,64.8,-147.5333,292.32,82,100,2.06,US,1691551208
359,champerico,14.3,-91.9167,302.19,75,99,2.01,GT,1691551518
360,garden city,42.3256,-83.331,296.38,76,75,3.6,US,1691551519
361,vadso,70.0744,29.7487,292.64,82,0,2.06,NO,1691550974
362,holualoa,19.6228,-155.9522,301.06,76,40,7.72,US,1691550953
